image_id,image_path_or_url,source_type,privacy_status,scene_type,zone_type,restricted_area,split,notes
office_public_0001,data/office_images/images/office_public_0001.jpg,public_wikimedia_commons,metadata_stripped,unknown,unknown,false,unassigned,Public Commons image selected by office/people activity query; manual review still required.
office_public_0002,data/office_images/images/office_public_0002.jpg,public_wikimedia_commons,metadata_stripped,unknown,unknown,false,unassigned,Public Commons image selected by office/people activity query; manual review still required.
office_public_0003,data/office_images/images/office_public_0003.jpg,public_wikimedia_commons,metadata_stripped,unknown,unknown,false,unassigned,Public Commons image selected by office/people activity query; manual review still required.
office_public_0004,data/office_images/images/office_public_0004.jpg,public_wikimedia_commons,metadata_stripped,unknown,unknown,false,unassigned,Public Commons image selected by office/people activity query; manual review still required.
office_public_0005,data/office_images/images/office_public_0005.jpg,public_wikimedia_commons,metadata_stripped,unknown,unknown,false,unassigned,Public Commons image selected by office/people activity query; manual review still required.
office_public_0006,data/office_images/images/office_public_0006.jpg,public_wikimedia_commons,metadata_stripped,unknown,unknown,false,unassigned,Public Commons image selected by office/people activity query; manual review still required.
office_public_0007,data/office_images/images/office_public_0007.jpg,public_wikimedia_commons,metadata_stripped,unknown,unknown,false,unassigned,Public Commons image selected by office/people activity query; manual review still required.
office_public_0008,data/office_images/images/office_public_0008.jpg,public_wikimedia_commons,metadata_stripped,unknown,unknown,false,unassigned,Public Commons image selected by office/people activity query; manual review still required.
office_public_0009,data/office_images/images/office_public_0009.jpg,public_wikimedia_commons,metadata_stripped,unknown,unknown,false,unassigned,Public Commons image selected by office/people activity query; manual review still required.
office_public_0010,data/office_images/images/office_public_0010.jpg,public_wikimedia_commons,metadata_stripped,unknown,unknown,false,unassigned,Public Commons image selected by office/people activity query; manual review still required.
office_public_0011,data/office_images/images/office_public_0011.jpg,public_wikimedia_commons,metadata_stripped,unknown,unknown,false,unassigned,Public Commons image selected by office/people activity query; manual review still required.
office_public_0012,data/office_images/images/office_public_0012.jpg,public_wikimedia_commons,metadata_stripped,unknown,unknown,false,unassigned,Public Commons image selected by office/people activity query; manual review still required.
office_public_0013,data/office_images/images/office_public_0013.jpg,public_wikimedia_commons,metadata_stripped,unknown,unknown,false,unassigned,Public Commons image selected by office/people activity query; manual review still required.
office_public_0014,data/office_images/images/office_public_0014.jpg,public_openverse_flickr,metadata_stripped,unknown,unknown,false,unassigned,Public image selected by office/people activity query; manual review still required.
office_public_0015,data/office_images/images/office_public_0015.jpg,public_openverse_flickr,metadata_stripped,unknown,unknown,false,unassigned,Public image selected by office/people activity query; manual review still required.
