image_id,file_path,sha256,source_type,source_page,download_url,title,query,license_name,license_url,artist,credit,description,width,height,mime,face_count_detected
office_public_0001,data/office_images/images/office_public_0001.jpg,32aa5e09e5c18805f6b00f23275b4a76ab5f0db376e54411a2812f2b72c2a8be,wikimedia_commons,https://commons.wikimedia.org/wiki/File:People_working_in_small_group_in_office.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/People_working_in_small_group_in_office.jpg/1920px-People_working_in_small_group_in_office.jpg,File:People working in small group in office.jpg,office people working,Public domain,,Ryan Hagerty,http://www.public-domain-image.com/public-domain-images-pictures-free-stock-photos/people-public-domain-images-pictures/people-working-in-small-group-in-office.jpg,"Image title: People working in small group in office Image from Public domain images website, http://www.public-domain-image.com/full-image/people-public-domain-images-pictures/people-working-in-small-group-in-office.jpg.html",1920,1294,image/jpeg,0
office_public_0002,data/office_images/images/office_public_0002.jpg,0141d77f82b2c98f4da503643829886a2175b1ef81fe2991ef85affe3b1d3c04,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Flickr_-_Government_Press_Office_(GPO)_-_Working_Sewing_Dresses.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Flickr_-_Government_Press_Office_%28GPO%29_-_Working_Sewing_Dresses.jpg/960px-Flickr_-_Government_Press_Office_%28GPO%29_-_Working_Sewing_Dresses.jpg,File:Flickr - Government Press Office (GPO) - Working Sewing Dresses.jpg,office people working,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://www.flickr.com/people/69061470@N05,"This is available from National Photo Collection of Israel, Photography dept. Government Press Office ( link ), under the digital ID D434-054 . This tag does not indicate the copyright status of the attached work. A normal copyright tag is still required. See Commons:Licensing for more information.","Workers sew dresses at the Pepco factory for cotton velour fashion wear in Tel Aviv. עובדים תופרים שמלות במפעל פפקו בתל אביב Photo: Yaakov Saar (1951–) Alternative names SA'AR YA'ACOV; Jacob Saar; Saʻar, Yaʻaḳov Description Israeli photographer Date of birth 1951 Authority file : Q28751896 VIAF : 298161188 MusicBrainz : 8ce6b736-7244-47f0-a7f9-925196959758 J9U : 987007461120505171 creator QS:P170,Q28751896 , 06/16/1976",960,1440,image/jpeg,0
office_public_0003,data/office_images/images/office_public_0003.jpg,fd5a962478e5663cb251595ad40f4dab72f11c19502179d5509f17cfa996c66c,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Flickr_-_Government_Press_Office_(GPO)_-_A_woman_working_in_the_orange_grove_of_kibbutz_Na%27an.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Flickr_-_Government_Press_Office_%28GPO%29_-_A_woman_working_in_the_orange_grove_of_kibbutz_Na%27an.jpg/960px-Flickr_-_Government_Press_Office_%28GPO%29_-_A_woman_working_in_the_orange_grove_of_kibbutz_Na%27an.jpg,File:Flickr - Government Press Office (GPO) - A woman working in the orange grove of kibbutz Na'an.jpg,office people working,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Zoltan Kluger,"This is available from National Photo Collection of Israel, Photography dept. Government Press Office ( link ), under the digital ID D5-105 . This tag does not indicate the copyright status of the attached work. A normal copyright tag is still required. See Commons:Licensing for more information.",A woman working in the orange grove of kibbutz Na'an (07/07/1938).,960,1440,image/jpeg,0
office_public_0004,data/office_images/images/office_public_0004.jpg,5ef7eac791feaf1d100290371140d7bb68f3b2e3b42a448194444397b018010a,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Working_in_an_office_(4903287151).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Working_in_an_office_%284903287151%29.jpg/960px-Working_in_an_office_%284903287151%29.jpg,File:Working in an office (4903287151).jpg,office people working,Public domain,,"Powerhouse Museum from Sydney, Australia",Working in an office,"Format: Glass plate negative. Rights Info: No known restrictions on publication. Repository: Tyrrell Photographic Collection, Powerhouse Museum www.powerhousemuseum.com/collection/database/collection=The_Tyrrell_Photographic Part Of: Powerhouse Museum Collection General information about the Powerhouse Museum Collection is available at www.powerhousemuseum.com/collection/database Persistent URL: www.powerhousemuseum.com/collection/database/?irn=390608",960,679,image/jpeg,0
office_public_0005,data/office_images/images/office_public_0005.jpg,349674ada528a6ae04455c6bb2ac5155c5091e6d8e6dff1c7f69e2ef0ccd55ec,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Americorps_Working_in_the_BLM_Redding_Field_Office_(29173709263).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Americorps_Working_in_the_BLM_Redding_Field_Office_%2829173709263%29.jpg/960px-Americorps_Working_in_the_BLM_Redding_Field_Office_%2829173709263%29.jpg,File:Americorps Working in the BLM Redding Field Office (29173709263).jpg,people working in office,Public domain,,blmcalifornia,Americorps Working in the BLM Redding Field Office,"Photo by Eric Coulter, BLM.",960,720,image/jpeg,0
office_public_0006,data/office_images/images/office_public_0006.jpg,3b94edeb4e692ac8109cfebcb07b154e7880aeb6271e1211209809d6d0473536,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Rosie_the_Riveter_(Vultee)_DS.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Rosie_the_Riveter_%28Vultee%29_DS.jpg/960px-Rosie_the_Riveter_%28Vultee%29_DS.jpg,File:Rosie the Riveter (Vultee) DS.jpg,office workers computers,Public domain,,Alfred T. Palmer,This image is available from the United States Library of Congress 's Prints and Photographs division under the digital ID fsac.1a35371 . This tag does not indicate the copyright status of the attached work. A normal copyright tag is still required. See Commons:Licensing .,"A real-life ""Rosie the Riveter"" operating a hand drill at Vultee-Nashville, Tennessee, working on an A-31 Vengeance dive bomber. Downsampled from original and sharpened slightly and resaved to increase managability of file.",960,767,image/jpeg,0
office_public_0007,data/office_images/images/office_public_0007.jpg,b35488fb45c843cfa28ab3fa0595a8c173a4704338a74f4ed3ed91a16a4e85bf,wikimedia_commons,"https://commons.wikimedia.org/wiki/File:US_Army_51408_Luis_Pagan-Arroyo,_duty_officer_at_the_U.S._Army_Garrison_Hohenfels_Installation_Operations_Center,_might_look_like_your_average_office_worker,_but_he_and_his_four_colleagues_are_the_garrison%27s_behind.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/US_Army_51408_Luis_Pagan-Arroyo%2C_duty_officer_at_the_U.S._Army_Garrison_Hohenfels_Installation_Operations_Center%2C_might_look_like_your_average_office_worker%2C_but_he_and_his_four_colleagues_are_the_garrison%27s_behind.jpg/960px-thumbnail.jpg,"File:US Army 51408 Luis Pagan-Arroyo, duty officer at the U.S. Army Garrison Hohenfels Installation Operations Center, might look like your average office worker, but he and his four colleagues are the garrison's behind.jpg",office workers computers,Public domain,,Kristin Bradley (USAG Hohenfels),United States Army,"Luis Pagan-Arroyo, duty officer at the U.S. Army Garrison Hohenfels Installation Operations Center, might look like your average office worker, but he and his four colleagues are the garrison's behind-the-scenes machine that, among many other things, provide help during emergencies.",960,638,image/jpeg,0
office_public_0008,data/office_images/images/office_public_0008.jpg,b951ff39212a76552a3bfcd4b4b7ca23d072b523b6e71af2134ec36d52d83e4e,wikimedia_commons,https://commons.wikimedia.org/wiki/File:President_Richard_Nixon_on_the_Telephone_at_the_Oval_Office_Desk_-_DPLA_-_488764631e6b86023dcfb82ad941704f.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/President_Richard_Nixon_on_the_Telephone_at_the_Oval_Office_Desk_-_DPLA_-_488764631e6b86023dcfb82ad941704f.jpg/960px-President_Richard_Nixon_on_the_Telephone_at_the_Oval_Office_Desk_-_DPLA_-_488764631e6b86023dcfb82ad941704f.jpg,File:President Richard Nixon on the Telephone at the Oval Office Desk - DPLA - 488764631e6b86023dcfb82ad941704f.jpg,employees office desks,Public domain,,President (1969-1974 : Nixon). White House Photo Office. 1969-1974; General Services Administration. National Archives and Records Service. Office of Presidential Libraries. Office of Presidential Papers. 1/20/1969-ca. 12/1974,"This file was contributed to Wikimedia Commons by National Archives and Records Administration as part of a cooperation project. The donation was facilitated by the Digital Public Library of America , via its partner Digital Public Library of America . Record in source catalog DPLA identifier: 488764631e6b86023dcfb82ad941704f National Archives and Records Administration identifier: 66394308",President Richard Nixon on the Telephone at the Oval Office Desk,960,676,image/jpeg,0
office_public_0009,data/office_images/images/office_public_0009.jpg,f65879c2005e6f1d0c0b8a5bb8fe9e742f3619210d4afad7b3f36fb7fc34b8d7,wikimedia_commons,https://commons.wikimedia.org/wiki/File:View_of_Oval_Office_in_2017.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/View_of_Oval_Office_in_2017.jpg/960px-View_of_Oval_Office_in_2017.jpg,File:View of Oval Office in 2017.jpg,employees office desks,Public domain,,White House,https://www.whitehouse.gov/about-the-white-house/presidents/,"Trump Oval Office (2017), working office of the President of the United States.",960,640,image/jpeg,0
office_public_0010,data/office_images/images/office_public_0010.jpg,44b332991ff9ab23aac3c6389fe8abff53722941b40fe655aa46bff6db584638,wikimedia_commons,https://commons.wikimedia.org/wiki/File:President_Barack_Obama.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/President_Barack_Obama.jpg/960px-President_Barack_Obama.jpg,File:President Barack Obama.jpg,employees office desks,Public domain,,Official White House Photo by Pete Souza,P120612PS-0463 ( direct link ) https://web.archive.org/web/20160227060205/https://www.whitehouse.gov/administration/president-obama (Official White House page - direct link ),"U.S. President Barack Obama 's official photograph in the Oval Office on December 6, 2012.",960,1199,image/jpeg,0
